Model,Accuracy,Precision,Recall,F1-score
MobileNetV2,0.9940677966101695,0.9943652813249749,0.9940677966101695,0.994125186427376
ResNet50,0.6796610169491526,0.6206862014823349,0.6796610169491526,0.6111795461180611
InceptionV3,0.9754237288135593,0.9833393013447919,0.9754237288135593,0.9769596228980901
